Id,Rating
202646,5
202647,5
202648,5
202649,5
202650,3
202651,4
202652,5
202653,5
202654,5
202655,5
202656,5
202657,5
202658,5
202659,5
202660,5
202661,5
202662,5
202663,5
202664,5
202665,5
202666,5
202667,3
202668,4
202669,5
202670,5
202671,5
202672,5
202673,5
202674,5
202675,5
202676,5
202677,5
202678,5
202679,5
202680,5
202681,5
202682,5
202683,5
202684,3
202685,4
202686,5
202687,5
202688,5
202689,5
202690,5
202691,5
202692,5
202693,5
202694,5
202695,5
202696,5
202697,5
202698,5
202699,5
202700,5
202701,3
202702,4
202703,5
202704,5
202705,5
202706,5
202707,5
202708,2
202709,5
202710,5
202711,5
202712,5
202713,5
202714,5
202715,5
202716,5
202717,5
202718,5
202719,4
202720,5
202721,5
202722,5
202723,5
202724,1
202725,5
202726,5
202727,5
202728,5
202729,5
202730,5
202731,4
202732,1
202733,4
202734,5
202735,2
202736,5
202737,5
202738,5
202739,5
202740,3
202741,5
202742,4
202743,5
202744,5
202745,1
202746,5
202747,1
202748,5
202749,5
202750,5
202751,1
202752,4
202753,5
202754,5
202755,1
202756,1
202757,5
202758,5
202759,5
202760,5
202761,5
202762,5
202763,5
202764,4
202765,5
202766,5
202767,5
202768,4
202769,5
202770,5
202771,1
202772,5
202773,5
202774,4
202775,5
202776,5
202777,5
202778,5
202779,5
202780,5
202781,5
202782,5
202783,5
202784,5
202785,5
202786,5
202787,5
202788,1
202789,5
202790,5
202791,4
202792,1
202793,5
202794,5
202795,1
202796,5
202797,5
202798,5
202799,1
202800,1
202801,5
202802,5
202803,2
202804,5
202805,1
202806,1
202807,1
202808,5
202809,1
202810,5
202811,5
202812,5
202813,1
202814,1
202815,5
202816,1
202817,5
202818,5
202819,4
202820,5
202821,5
202822,5
202823,4
202824,5
202825,5
202826,5
202827,5
202828,5
202829,5
202830,4
202831,5
202832,5
202833,5
202834,3
202835,1
202836,1
202837,5
202838,4
202839,5
202840,5
202841,5
202842,2
202843,5
202844,3
202845,5
202846,4
202847,5
202848,5
202849,5
202850,1
202851,5
202852,1
202853,1
202854,5
202855,4
202856,5
202857,1
202858,5
202859,5
202860,5
202861,5
202862,5
202863,4
202864,1
202865,5
202866,5
202867,1
202868,5
202869,5
202870,1
202871,1
202872,5
202873,1
202874,5
202875,5
202876,5
202877,5
202878,5
202879,5
202880,2
202881,5
202882,5
202883,5
202884,5
202885,5
202886,5
202887,5
202888,4
202889,5
202890,1
202891,5
202892,5
202893,5
202894,1
202895,1
202896,5
202897,1
202898,5
202899,1
202900,5
202901,5
202902,5
202903,5
202904,5
202905,5
202906,5
202907,5
202908,5
202909,5
202910,5
202911,1
202912,5
202913,5
202914,4
202915,5
202916,3
202917,1
202918,4
202919,1
202920,5
202921,5
202922,4
202923,5
202924,5
202925,5
202926,5
202927,5
202928,1
202929,5
202930,5
202931,5
202932,5
202933,5
202934,5
202935,5
202936,3
202937,5
202938,1
202939,5
202940,5
202941,5
202942,5
202943,5
202944,5
202945,5
202946,5
202947,5
202948,1
202949,1
202950,5
202951,5
202952,1
202953,5
202954,5
202955,5
202956,5
202957,5
202958,1
202959,5
